gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a0602,1,1,CHR_THIS,Character flag test!,Character flag test!,CHR_THIS,キャラflagテスト！ ,キャラflagテスト！<br/>,,
a0602,2,2,CHR_THIS,Character flag test!,Character flag test!,CHR_THIS,キャラflagテスト！ ,キャラflagテスト！<br/>,,
a0602,3,3,Ashen,"Still, I've known him since we were kids, so I can assure you he's definitely not a bad guy.","Still, I've known him since we were kids, so I can<br/>assure you he's definitely not a bad guy.",アシェン,まあ、でも決して悪いヤツじゃないって事は、 幼馴染として言っておくわ。,まあ、でも決して悪いヤツじゃないって事は、<br/>幼馴染として言っておくわ。,,
a0602,3,4,Ashen,"He cares about his friends and he's always kind to his elders, so don't let appearances deceive you.","He cares about his friends and he's always kind to his<br/>elders, so don't let appearances deceive you.",アシェン,仲間の面倒見はいいし、お年寄りにもなんやかんやで 親切なところもあるし、誤解はしないで欲しいわ。,仲間の面倒見はいいし、お年寄りにもなんやかんやで<br/>親切なところもあるし、誤解はしないで欲しいわ。,,
a0602,4,5,Agnes,"U-Uhm, it's a pleasure to meet you!","U-Uhm, it's a pleasure to meet you!",アニエス,えっと、よろしくお願いします！,えっと、よろしくお願いします！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
a0602,5,6,Ferry,"U-Uhm, it's a pleasure to meet you!","U-Uhm, it's a pleasure to meet you!",フェリ,えっと、よろしくお願いします！,えっと、よろしくお願いします！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
a0602,6,7,Aaron,"Huh? Keep your nose out, old fart.","Huh? Keep your nose out, old fart.",アーロン,ハン？　すっこんでろよ、オッサン。,ハン？　すっこんでろよ、オッサン。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
a0602,7,8,Dream,"Oh, Van, it's you! Make sure you're keeping on the straight and narrow, okay?","Oh, Van, it's you! Make sure you're keeping on the<br/>straight and narrow, okay?",ユメ,あ、ヴァンだー！ マットウに生きなきゃダメだぞっ！,あ、ヴァンだー！<br/>マットウに生きなきゃダメだぞっ！,,
a0602,8,9,fan,"Oh, if it's not young Arkride. My daughter told me about your meeting with Aaron.","Oh, if it's not young Arkride. My daughter told me<br/>about your meeting with Aaron.",ファン,おや、アークライド君ではないか。 アーロンと会えた件は娘からも聞いている。,おや、アークライド君ではないか。<br/>アーロンと会えた件は娘からも聞いている。,,
a0602,8,10,fan,"That's what our worrisome Aaron is like at the moment, you see. A bit of a surprise, perhaps...","That's what our worrisome Aaron is like at the<br/>moment, you see. A bit of a surprise, perhaps...",ファン,まあ、今私達が懸念している彼はあんな感じでね。 少々、驚いたかもしれないが……,まあ、今私達が懸念している彼はあんな感じでね。<br/>少々、驚いたかもしれないが……,,
a0602,8,11,Ashen,I'm sorry that Aaron picked a fight with you this evening. He can be so stubborn...,I'm sorry that Aaron picked a fight with you<br/>this evening. He can be so stubborn...,アシェン,夕方はアーロンが喧嘩吹っ掛けちゃった みたいでごめんね、あいつ意地っ張りだから……,夕方はアーロンが喧嘩吹っ掛けちゃった<br/>みたいでごめんね、あいつ意地っ張りだから……,,
a0602,8,12,Van,"Well, the guy did turn out to be more rash than folks had led me to believe... but there's no denyin' his skills.","Well, the guy did turn out to be more rash than folks<br/>had led me to believe... but there's no denyin'<br/>his skills.",ヴァン,まあ、聞いていた以上の跳ね返りっぷりなのは わかったが……実力も確かだったな。,まあ、聞いていた以上の跳ね返りっぷりなのは<br/>わかったが……実力も確かだったな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0602,8,13,Van,Can see why you guys are having a hard time dealin' with him.,Can see why you guys are having a hard time dealin'<br/>with him.,ヴァン,あんた達がこの状況で扱いに困るのも 改めて納得がいった。,あんた達がこの状況で扱いに困るのも<br/>改めて納得がいった。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0602,8,14,Ashen,"Still, I've known him since we were kids, so I can assure you he's definitely not a bad guy.","Still, I've known him since we were kids, so I can<br/>assure you he's definitely not a bad guy.",アシェン,まあ、でも決して悪いヤツじゃないって事は、 幼馴染として言っておくわ。,まあ、でも決して悪いヤツじゃないって事は、<br/>幼馴染として言っておくわ。,,
a0602,8,15,Ashen,"He cares about his friends and he's always kind to his elders, so don't let appearances deceive you.","He cares about his friends and he's always kind to his<br/>elders, so don't let appearances deceive you.",アシェン,仲間の面倒見はいいし、お年寄りにもなんやかんやで 親切なところもあるし、誤解はしないで欲しいわ。,仲間の面倒見はいいし、お年寄りにもなんやかんやで<br/>親切なところもあるし、誤解はしないで欲しいわ。,,
a0602,8,16,fan,"We wouldn't have anything to do with him otherwise, I assure you.","We wouldn't have anything to do with him<br/>otherwise, I assure you.",ファン,そうでなければ、私達も彼を 買うような事はしないからね。,そうでなければ、私達も彼を<br/>買うような事はしないからね。,,
a0602,8,17,fan,"Anyone who's aiming for the top of Heiyue needs to have some degree of leadership skills, as well as knowledge of a broad range of topics.","Anyone who's aiming for the top of Heiyue needs to<br/>have some degree of leadership skills, as well as<br/>knowledge of a broad range of topics.",ファン,黒月で活躍して上を目指すなら、ある程度の 統率力と視野の広さはあって然るべきだ。,黒月で活躍して上を目指すなら、ある程度の<br/>統率力と視野の広さはあって然るべきだ。,,
a0602,8,18,fan,Even my eldest son is studying abroad to broaden his horizons.,Even my eldest son is studying abroad to broaden<br/>his horizons.,ファン,私の長男でさえ、それを改めて見極めさせるために 国外留学で見識を広めさせているくらいだからね。,私の長男でさえ、それを改めて見極めさせるために<br/>国外留学で見識を広めさせているくらいだからね。,,
a0602,8,19,Van,"Yeah, I try not to judge a book by its cover.","Yeah, I try not to judge a book by its cover.",ヴァン,ええ、一応人となりは表面だけで 判断しない主義ですしね。,ええ、一応人となりは表面だけで<br/>判断しない主義ですしね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0602,8,20,Van,"I'll take that into consideration, then decide what I gotta do once I've gotten to the bottom of the things.","I'll take that into consideration, then decide what I<br/>gotta do once I've gotten to the bottom of the things.",ヴァン,その辺りも含めて、見極めたうえで どうするかは判断しますよ。,その辺りも含めて、見極めたうえで<br/>どうするかは判断しますよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0602,8,21,Van,"Well, hopefully I'll get the chance to assess the situation up close before too long.","Well, hopefully I'll get the chance to assess the<br/>situation up close before too long.",ヴァン,まあ、早いうちに近くで見極める 機会があると……何かと良さそうですがね。,まあ、早いうちに近くで見極める<br/>機会があると……何かと良さそうですがね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0602,8,22,fan,"Hah! As daring as you seem, I knew you'd be the sort to see things through carefully.","Hah! As daring as you seem, I knew you'd be the sort<br/>to see things through carefully.",ファン,はは、やはり大胆に見えて慎重に ものを見通すスタンスは思った通りだな。,はは、やはり大胆に見えて慎重に<br/>ものを見通すスタンスは思った通りだな。,,
a0602,8,23,fan,"Just as anticipated. Anyway, I'm counting on your help.","Just as anticipated. Anyway, I'm counting on<br/>your help.",ファン,見込んだ通りだ、改めてよろしく頼むよ。,見込んだ通りだ、改めてよろしく頼むよ。,,
