gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t0000,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
t0000,2,2,,HP and EP were fully restored!,HP and EP were fully restored!,,ＨＰ・ＥＰが全回復した！,<C1>ＨＰ・ＥＰが全回復した！,,
t0000,3,3,Sergeant Waley,"First the bus accident, then the monsters, and now we've got a bicycle thief? Hard to recall a day like this out here.","First the bus accident, then the monsters, and now<br/>we've got a bicycle thief? Hard to recall a day like this<br/>out here.",ウェイリー巡査長,交通事故と魔獣騒ぎの次は、自転車泥棒か。 一日にこうも問題が何度もあるのは珍しいな。,交通事故と魔獣騒ぎの次は、自転車泥棒か。<br/>一日にこうも問題が何度もあるのは珍しいな。,,
t0000,3,4,Sergeant Waley,"This is the kind of rush I'd expect from the city— back in my bureau days, we'd always have new reports coming in.","This is the kind of rush I'd expect from the city—<br/>back in my bureau days, we'd always have new reports<br/>coming in.",ウェイリー巡査長,都市部で勤務していた時代は 毎日のように事件の処理に追われていたものだが。,都市部で勤務していた時代は<br/>毎日のように事件の処理に追われていたものだが。,,
t0000,3,5,Sergeant Waley,"But out here, crime of any kind is rare. I'm gonna get to the bottom of this as soon as I can so that it stays that way.","But out here, crime of any kind is rare. I'm gonna get<br/>to the bottom of this as soon as I can so that it stays<br/>that way.",ウェイリー巡査長,さて……未遂とはいえ、久しぶりの犯罪者だ。 ここは手厳しく取り調べを進めないとな。,さて……未遂とはいえ、久しぶりの犯罪者だ。<br/>ここは手厳しく取り調べを進めないとな。,,
t0000,3,6,Sergeant Waley,"I used to work in the city bureau, you know. We had no shortage of cases back there.","I used to work in the city bureau, you know. We had<br/>no shortage of cases back there.",ウェイリー巡査長,昔は都市部で勤務をしていてな。 あの頃は毎日のように事件の処理に追われていたよ。,昔は都市部で勤務をしていてな。<br/>あの頃は毎日のように事件の処理に追われていたよ。,,
t0000,3,7,Sergeant Waley,"Meanwhile, Creil Village is as peaceful as can be. That's why today's incident was such a shock.","Meanwhile, Creil Village is as peaceful as can be.<br/>That's why today's incident was such a shock.",ウェイリー巡査長,それに比べて、クレイユ村は平穏そのもの…… だからこそ、今日の事故には驚かされてしまった。,それに比べて、クレイユ村は平穏そのもの……<br/>だからこそ、今日の事故には驚かされてしまった。,,
t0000,3,8,Sergeant Waley,I think I started taking that peace for granted. This is a good reminder that an officer's work is never done.,I think I started taking that peace for granted. This is<br/>a good reminder that an officer's work is never done.,ウェイリー巡査長,平和慣れし過ぎるのもいかんよな。 この村を守る為にも気を引き締めねば。,平和慣れし過ぎるのもいかんよな。<br/>この村を守る為にも気を引き締めねば。,,
t0000,3,9,Sergeant Waley,"We're finally making some progress here, now that it's looking like the bus will be back on the road tomorrow.","We're finally making some progress here, now that<br/>it's looking like the bus will be back on the<br/>road tomorrow.",ウェイリー巡査長,バスは明日の出発という事で色々と 固まってきているようだな。,バスは明日の出発という事で色々と<br/>固まってきているようだな。,,
t0000,3,10,Sergeant Waley,"But we're not out of the woods yet—the night is plenty dangerous, and we're not in great shape here as is.","But we're not out of the woods yet—the night is<br/>plenty dangerous, and we're not in great shape here<br/>as is.",ウェイリー巡査長,まあ、夜間はただでさえ危ないからな。 疲労なんかも加味すれば仕方ないだろう。,まあ、夜間はただでさえ危ないからな。<br/>疲労なんかも加味すれば仕方ないだろう。,,
t0000,3,11,Sergeant Waley,"The monsters, though, I think we'll have a bracer down here soon to handle those.","The monsters, though, I think we'll have a bracer<br/>down here soon to handle those.",ウェイリー巡査長,魔獣に関しても、思ったより早く遊撃士が 来そうだし、何とか治まるんじゃないかな。,魔獣に関しても、思ったより早く遊撃士が<br/>来そうだし、何とか治まるんじゃないかな。,,
