gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a1027,1,1,,PA,PA,,PA,PA,,
a1027,1,2,,?!,?!,,！？,！？,,
a1027,1,3,,...,...,,…,…,,
a1027,1,4,,!,!,,！,！,,
a1027,1,5,,?,?,,？,？,,
a1027,1,6,,Sweat,Sweat,,冷汗,冷汗,,
a1027,1,7,,...Looping,...Looping,,…ループ,…ループ,,
a1027,2,8,,Hello.,Hello.,,８月２５日　１０：０５ 首都イーディス八区　旧市街,８月２５日　１０：０５<br/>首都イーディス八区　旧市街,,
a1027,2,9,,This is a test.,This is a test.,,８月２５日　１０：０５ 首都（しゅと）イーディス八区（はちく）　旧市街（きゅうしがい）,<s20>８月２５日　１０：０５<br/>首都（しゅと）イーディス八区（はちく）　旧市街（きゅうしがい）,,
a1027,2,10,,"8/25 10:05Capital of Calvard, EdithEighth District, Old Town","8/25 10:05Capital of Calvard, EdithEighth District,<br/>Old Town",,８月２５日　１０：０５ 首都（しゅと）イーディス八区（はちく）　旧市街（きゅうしがい）,<s50>８月２５日　１０：０５<br/>首都（しゅと）イーディス八区（はちく）　旧市街（きゅうしがい）,,
a1027,3,11,,"8/25 10:05Capital of Calvard, EdithEighth District, Old Town","8/25 10:05Capital of Calvard, EdithEighth District,<br/>Old Town",,ＬＰテストイベント起動,ＬＰテストイベント起動,,
a1027,4,12,,"8/25 10:05Capital of Calvard, EdithEighth District, Old Town","8/25 10:05Capital of Calvard, EdithEighth District,<br/>Old Town",,今は進めないようだ。,今は進めないようだ。,,
