gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t1000,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
t1000,2,2,Tricia,"Apparently, something happened over by the harbor earlier today. Why have things been so dangerous lately?","Apparently, something happened over by the harbor<br/>earlier today. Why have things been so<br/>dangerous lately?",トリシア,今度は港の方でも何かあったの……？ 昨晩と言い、ここのところ物騒というか……,今度は港の方でも何かあったの……？<br/>昨晩と言い、ここのところ物騒というか……,,
t1000,2,3,Tricia,And here I was thinking I could have some peace for once in my life...,And here I was thinking I could have some peace for<br/>once in my life...,トリシア,せっかく越してきてからこの方、友達もできて この街も安心して暮らせるなって思っていたのに……,せっかく越してきてからこの方、友達もできて<br/>この街も安心して暮らせるなって思っていたのに……,,
t1000,2,4,Tricia,I heard there was an incident last night in the Eastern Quarter. People have been talking all about that weird fog.,I heard there was an incident last night in the<br/>Eastern Quarter. People have been talking all about<br/>that weird fog.,トリシア,昨晩東方人街で事件があったって…… 向こうにいる友達も大丈夫かしら……？,昨晩東方人街で事件があったって……<br/>向こうにいる友達も大丈夫かしら……？,,
t1000,2,5,Tricia,I hope my friends over there are okay...,I hope my friends over there are okay...,トリシア,最近は不良の喧嘩も増えたと聞くけど…… そういえば妙な霧も出ていたような……,最近は不良の喧嘩も増えたと聞くけど……<br/>そういえば妙な霧も出ていたような……,,
t1000,2,6,Tricia,"Every time I watch Wolves' Requiem, I find new things to love about it. Director Lam is a master of his craft.","Every time I watch Wolves' Requiem, I find new<br/>things to love about it. Director Lam is a master of<br/>his craft.",トリシア,うーん、やっぱりラム監督の『狼達の鎮魂歌』は 何度見ても面白いわね……,うーん、やっぱりラム監督の『狼達の鎮魂歌』は<br/>何度見ても面白いわね……,,
t1000,2,7,Tricia,"I only started watching Kowloon Pictures films when I moved here, but I quickly became an avid fan.","I only started watching Kowloon Pictures films when<br/>I moved here, but I quickly became an avid fan.",トリシア,《九龍映像》の映画、最初はラングポートに 越してきて、せっかくだからって見始めたけど……,《九龍映像》の映画、最初はラングポートに<br/>越してきて、せっかくだからって見始めたけど……,,
t1000,2,8,Tricia,I was drawn in by their unique settings and atmospheres.,I was drawn in by their unique settings<br/>and atmospheres.,トリシア,今になってみると普通に世界観に引き込まれる というか、雰囲気が癖になるというか……,今になってみると普通に世界観に引き込まれる<br/>というか、雰囲気が癖になるというか……,,
t1000,2,9,Tricia,"Thanks to those movies, I've made friends with Easterners who have a shared interest in film.","Thanks to those movies, I've made friends with<br/>Easterners who have a shared interest in film.",トリシア,映画を通して東方人の友達もできたし、 映画って本当に良いものよねぇ……,映画を通して東方人の友達もできたし、<br/>映画って本当に良いものよねぇ……,,
t1000,2,10,Tricia,"It's been a year since I moved to Langport, and life's been great ever since.","It's been a year since I moved to Langport, and life's<br/>been great ever since.",トリシア,ラングポート……もう越してきて一年になるけど、 住んでみると面白いのよねぇ。,ラングポート……もう越してきて一年になるけど、<br/>住んでみると面白いのよねぇ。,,
t1000,2,11,Tricia,I feel like I'm living in all those Eastern-style action flicks I love so much.,I feel like I'm living in all those Eastern-style action<br/>flicks I love so much.,トリシア,ほら、まさに東方系の活劇映画の世界みたいで、 暮らして感じられる空気感もあるというか……,ほら、まさに東方系の活劇映画の世界みたいで、<br/>暮らして感じられる空気感もあるというか……,,
t1000,2,12,Tricia,It's fun to compare the cultural differences of Langport and the place I grew up in.,It's fun to compare the cultural differences of<br/>Langport and the place I grew up in.,トリシア,文化の違いなんかも、むしろ友達を作りながら お互いに楽しめるものだしねぇ。,文化の違いなんかも、むしろ友達を作りながら<br/>お互いに楽しめるものだしねぇ。,,
t1000,3,13,Hanjao,"We're getting the usual afternoon traffic, thankfully.","We're getting the usual afternoon traffic, thankfully.",ハンジャオ,朝に比べて客入りが戻ってきましたよ。,朝に比べて客入りが戻ってきましたよ。,,
t1000,3,14,Hanjao,"Now that the cops, the Bracer Guild, and Heiyue are on the move, the people are a bit less anxious.","Now that the cops, the Bracer Guild, and Heiyue are<br/>on the move, the people are a bit less anxious.",ハンジャオ,やはり警察やギルド、黒月が動き出したから 不安も払拭されたんですかねぇ。,やはり警察やギルド、黒月が動き出したから<br/>不安も払拭されたんですかねぇ。,,
t1000,3,15,Hanjao,"As long as people feel like they can kick back and enjoy movies again, I can be at ease, too.","As long as people feel like they can kick back and<br/>enjoy movies again, I can be at ease, too.",ハンジャオ,この調子で普段通りに映画を楽しめる 雰囲気が戻ってくれれば安心できますね。,この調子で普段通りに映画を楽しめる<br/>雰囲気が戻ってくれれば安心できますね。,,
t1000,3,16,Hanjao,We could see the fog that covered the Eastern Quarter from here. It was...unsettling.,We could see the fog that covered the Eastern<br/>Quarter from here. It was...unsettling.,ハンジャオ,向こう岸に出た霧……ここからも見えて、 随分と不自然でしたが結局何だったのでしょうね……,向こう岸に出た霧……ここからも見えて、<br/>随分と不自然でしたが結局何だったのでしょうね……,,
