gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m3400,1,1,voice,Wh... L-Let go of me!,Wh... L-Let go of me!,声,ちょっ…… アンタたち、放しなさいよ～！？,"<audio id=""v06_30039""><source src=""talk/11/v06_30039.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_30039').play()"">ちょっ……<br/>アンタたち、放しなさいよ～！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m3400,1,2,Ferry,It came from over there!,It came from over there!,フェリ,向こうの方からです！,向こうの方からです！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m3400,1,3,Van,That voice... It figures.,That voice... It figures.,ヴァン,この声……やっぱりか。,この声……やっぱりか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m3400,1,4,Hotel staff,Hnngh!,Hnngh!,ホテルマン,むうウン……！,<C2>むうウン……！,,
m3400,1,5,Hotel staff,Haaaah!,Haaaah!,ホテルマン,ハアあっ……！,<C2>ハアあっ……！,,
m3400,1,6,Grimm Cats,"L-Let me GO, alre—wait! I know you!","L-Let me GO, alre—wait! I know you!",グリムキャッツ,だ、だからいい加減に ──ってアンタたち……！？,"<audio id=""v06_30040""><source src=""talk/11/v06_30040.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_30040').play()"">だ、だからいい加減に<br/>──ってアンタたち……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m3400,1,7,Agnes,Miss Grimcat!,Miss Grimcat!,アニエス,グリムキャッツさん……！？,グリムキャッツさん……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m3400,1,8,Aaron,Sorry. We interrupt your fun?,Sorry. We interrupt your fun?,アーロン,……ワリ、お楽しみだったか？,……ワリ、お楽しみだったか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m3400,1,9,Ferry,(Wh-Why is my heart beating so fast all of a sudden?),(Wh-Why is my heart beating so fast all of<br/>a sudden?),フェリ,（な、なんだかドキドキします。）,（な、なんだかドキドキします。）,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m3400,1,10,Grimm Cats,Do I LOOK like I'm having fun?! Now hurry up and give me a hand!,Do I LOOK like I'm having fun?! Now hurry up and<br/>give me a hand!,グリムキャッツ,プレイじゃないからっ……！ いいから早く助けなさいっ！,"<audio id=""v06_30041""><source src=""talk/11/v06_30041.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_30041').play()"">プレイじゃないからっ……！<br/>いいから早く助けなさいっ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
