gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a1041,1,1,CHR_THIS,Camera Blur,Camera Blur,CHR_THIS,カメラブラー,カメラブラー,,
a1041,1,2,CHR_THIS,Lightray Blur (Screen coordinates),Lightray Blur (Screen coordinates),CHR_THIS,放射ブラー（スクリーン座標）,放射ブラー（スクリーン座標）,,
a1041,1,3,CHR_THIS,Lightray Blur (Field Coordinates),Lightray Blur (Field Coordinates),CHR_THIS,放射ブラー（ワールド座標）,放射ブラー（ワールド座標）,,
a1041,1,4,CHR_THIS,Lightray Blur (Attach to character),Lightray Blur (Attach to character),CHR_THIS,放射ブラー（キャラにアタッチ）,放射ブラー（キャラにアタッチ）,,
a1041,2,5,CHR_THIS,Depth of Field On,Depth of Field On,CHR_THIS,被写界深度オン,被写界深度オン,,
a1041,2,6,CHR_THIS,Depth of Field Range: Interior 5.0 Exterior10.0,Depth of Field Range:<br/>Interior 5.0<br/>Exterior10.0,CHR_THIS,被写界深度範囲 内側5.0 外側10.0,被写界深度範囲<br/>内側5.0<br/>外側10.0,,
a1041,2,7,CHR_THIS,Depth of Field Range: Interior 0 Exterior 2.0,Depth of Field Range:<br/>Interior 0<br/>Exterior 2.0,CHR_THIS,被写界深度範囲 内側0.0 外側2.0,被写界深度範囲<br/>内側0.0<br/>外側2.0,,
a1041,2,8,CHR_THIS,Depth of Field Blur Level 1,Depth of Field Blur Level 1,CHR_THIS,被写界深度ブラーレベル1,被写界深度ブラーレベル1,,
a1041,2,9,CHR_THIS,Depth of Field Blur Level 5,Depth of Field Blur Level 5,CHR_THIS,被写界深度ブラーレベル5,被写界深度ブラーレベル5,,
a1041,2,10,CHR_THIS,Depth of Field Blur Level 30,Depth of Field Blur Level 30,CHR_THIS,被写界深度ブラーレベル30,被写界深度ブラーレベル30,,
a1041,2,11,CHR_THIS,Fix Depth of Field Center to Player Head,Fix Depth of Field Center to Player Head,CHR_THIS,被写界深度焦点をプレイヤーの頭に設定,被写界深度焦点をプレイヤーの頭に設定,,
a1041,2,12,CHR_THIS,"Fix Depth of Field Center to (0.0f, 0.0f, 0.0f)","Fix Depth of Field Center to (0.0f, 0.0f, 0.0f)",CHR_THIS,"被写界深度焦点を(0.0f, 0.0f, 0.0f)に設定","被写界深度焦点を(0.0f, 0.0f, 0.0f)に設定",,
a1041,2,13,CHR_THIS,Depth of Field Off,Depth of Field Off,CHR_THIS,被写界深度オフ,被写界深度オフ,,
