gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
c1010,1,1,jacket men,You served me well in Basel.,You served me well in Basel.,ジャケットの男性,──バーゼルの件はご苦労だった。,"<audio id=""v15_40000""><source src=""talk/11/v15_40000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40000').play()"">──バーゼルの件はご苦労だった。</a>",,
c1010,1,2,jacket men,We could have had quite the crisis on our hands if events had been allowed to play out as our foes wanted.,We could have had quite the crisis on our hands if<br/>events had been allowed to play out as our<br/>foes wanted.,ジャケットの男性,危機管理的にも難しい状況を 見事、クリアしてくれたようだね。,"<audio id=""v15_40001""><source src=""talk/11/v15_40001.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40001').play()"">危機管理的にも難しい状況を<br/>見事、クリアしてくれたようだね。</a>",,
c1010,1,3,Kincaid,"Thank you, sir—though I believe most of the credit goes to our agent in the field and the principality's representatives.","Thank you, sir—though I believe most of the credit<br/>goes to our agent in the field and the<br/>principality's representatives.",キンケイド,いえ、担当スタッフと公国側の “代理人”たちがよくやってくれました。,"<audio id=""v10_40017""><source src=""talk/11/v10_40017.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_40017').play()"">いえ、担当スタッフと公国側の<br/>“代理人”たちがよくやってくれました。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
c1010,1,4,Kincaid,"I will admit that I did not anticipate you hiring Marduk to act when they did, however.","I will admit that I did not anticipate you hiring<br/>Marduk to act when they did, however.",キンケイド,……あのタイミングでＭＫ社を動かす 契約をされていたのは予想外でしたが。,"<audio id=""v10_40018""><source src=""talk/11/v10_40018.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_40018').play()"">……あのタイミングでＭＫ社を動かす<br/>契約をされていたのは予想外でしたが。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
c1010,1,5,jacket men,They will do whatever you ask so long as the price is right. It makes them rather convenient in times like these.,They will do whatever you ask so long as the price<br/>is right. It makes them rather convenient in times<br/>like these.,ジャケットの男性,なに、ミラ次第で動く連中だ。 色々使い勝手がいいというだけさ。,"<audio id=""v15_40002""><source src=""talk/11/v15_40002.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40002').play()"">なに、ミラ次第で動く連中だ。<br/>色々使い勝手がいいというだけさ。</a>",,
c1010,1,6,jacket men,There are advantages to their being a neutral organization beholden to no government—even if using their services requires an...objective mindset.,There are advantages to their being a neutral<br/>organization beholden to no government—even if<br/>using their services requires an...objective mindset.,ジャケットの男性,本質的に中立でしかない外国企業── どこまでも</B>割り切る必要はあるがね。,"<audio id=""v15_40003""><source src=""talk/11/v15_40003.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40003').play()"">本質的に中立でしかない外国企業──<br/>どこまでも</B>割り切る必要はあるがね。</a>",,
c1010,1,7,jacket men,"I imagine you can see their merits as well, Professor Cronkite?","I imagine you can see their merits as well,<br/>Professor Cronkite?",ジャケットの男性,そういう在り方は君も嫌いではないだろう、 ──ヤン・クロンカイト教授？,"<audio id=""v15_40004""><source src=""talk/11/v15_40004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40004').play()"">そういう在り方は君も嫌いではないだろう、<br/>──ヤン・クロンカイト教授？</a>",,
c1010,1,8,Professor Cronkite,"I do. At least they are competent, unlike a certain superior of mine that I could name.","I do. At least they are competent, unlike a certain<br/>superior of mine that I could name.",クロンカイト教授,ええ、無能な経営陣に 使われるよりはずっと。,"<audio id=""v49_40043""><source src=""talk/11/v49_40043.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v49_40043').play()"">ええ、無能な経営陣に<br/>使われるよりはずっと。</a>",,
c1010,1,9,jacket men,I don't disagree. The time is long past due for Verne to appoint a new CEO.,I don't disagree. The time is long past due for Verne<br/>to appoint a new CEO.,ジャケットの男性,ヴェルヌのＣＥＯが そろそろ替え時なのは間違いない。,"<audio id=""v15_40005""><source src=""talk/11/v15_40005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40005').play()"">ヴェルヌのＣＥＯが<br/>そろそろ替え時なのは間違いない。</a>",,
c1010,1,10,jacket men,We can maintain the status quo as long as Professor Hamilton remains in the Republic...,We can maintain the status quo as long as Professor<br/>Hamilton remains in the Republic...,ジャケットの男性,ハミルトン博士が戻られている間は “現状維持”で構わないだろうが……,"<audio id=""v15_40006""><source src=""talk/11/v15_40006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40006').play()"">ハミルトン博士が戻られている間は<br/>“現状維持”で構わないだろうが……</a>",,
c1010,1,11,jacket men,"...but as soon as she departs, we will indeed make the necessary arrangements.","...but as soon as she departs, we will indeed make the<br/>necessary arrangements.",ジャケットの男性,再び離れられたタイミングで すぐにでも計らうとしよう。,"<audio id=""v15_40007""><source src=""talk/11/v15_40007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40007').play()"">再び離れられたタイミングで<br/>すぐにでも計らうとしよう。</a>",,
c1010,1,12,Professor Cronkite,I see no issue with that timeline.,I see no issue with that timeline.,クロンカイト教授,ええ、それがいいでしょう。,"<audio id=""v49_40044""><source src=""talk/11/v49_40044.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v49_40044').play()"">ええ、それがいいでしょう。</a>",,
c1010,1,13,President Gramhart,"Now, as we previously agreed, I think it's about time you got to work.","Now, as we previously agreed, I think it's about time<br/>you got to work.",グラムハート大統領,──それでは予定通り、 今後は本腰を入れてもらおうか？,"<audio id=""v15_40008""><source src=""talk/11/v15_40008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v15_40008').play()"">──それでは予定通り、<br/>今後は本腰を入れてもらおうか？</a>",,
