gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t3200,1,1,CHR_THIS,These settings are for checking mob placement during day/evening/night. Remove these once they are no longer needed.,These settings are for checking mob placement<br/>during day/evening/night. Remove these once they<br/>are no longer needed.,CHR_THIS,昼・夕・夜のモブ配置確認用です。 ※不要になりましたら削除をお願いいたします。,昼・夕・夜のモブ配置確認用です。<br/>※不要になりましたら削除をお願いいたします。,,
t3200,1,2,,★DEBUG: Select a character to accompany you in addition to Van/Risette.,★DEBUG: Select a character to accompany you<br/>in addition to Van/Risette.,,★DEBUG：ヴァン・リゼットに加えて 連れて行くメンバーを選んでください。,★DEBUG：ヴァン・リゼットに加えて<br/>連れて行くメンバーを選んでください。,,
t3200,1,3,,★DEBUG: Select a character to accompany you in addition to Van/Risette.,★DEBUG: Select a character to accompany you<br/>in addition to Van/Risette.,,★DEBUG：ヴァン・リゼットに加えて 連れて行くメンバーを選んでください。,★DEBUG：ヴァン・リゼットに加えて<br/>連れて行くメンバーを選んでください。,,
t3200,2,4,,HP and EP were fully restored!,HP and EP were fully restored!,,ＨＰ・ＥＰが全回復した！,<C1>ＨＰ・ＥＰが全回復した！,,
t3200,3,5,Grandma Heidi,I wouldn't have made it out of there if not for you... I can't thank you enough.,I wouldn't have made it out of there if not for you...<br/>I can't thank you enough.,ハイジ婆さん,昨日は本当にありがとうね…… お陰で命拾いしたわ……,昨日は本当にありがとうね……<br/>お陰で命拾いしたわ……,,
t3200,3,6,Grandma Heidi,"I was really surprised to see how strong Quatre's gotten. He's really grown up, hasn't he?","I was really surprised to see how strong<br/>Quatre's gotten. He's really grown up, hasn't he?",ハイジ婆さん,あなた達も頼もしかったけど…… カトル君もいつの間にかあんなに逞しくなって。,あなた達も頼もしかったけど……<br/>カトル君もいつの間にかあんなに逞しくなって。,,
t3200,3,7,Grandma Heidi,"I'm sure Professor Hamilton will be happy to see that, if and when she returns.","I'm sure Professor Hamilton will be happy to see that,<br/>if and when she returns.",ハイジ婆さん,きっと、ハミルトン博士も一層 成長を喜んでくれるはずだわ……,きっと、ハミルトン博士も一層<br/>成長を喜んでくれるはずだわ……,,
t3200,3,8,Grandma Heidi,"Yesterday was just awful... They even went after old Stinson, from what I heard. Those machines nearly killed him...","Yesterday was just awful... They even went after old<br/>Stinson, from what I heard. Those machines nearly<br/>killed him...",ハイジ婆さん,昨日は本当に大変だったわ、スティンソンさんも あの機械の怪物に襲われかけたって……,昨日は本当に大変だったわ、スティンソンさんも<br/>あの機械の怪物に襲われかけたって……,,
t3200,3,9,Grandma Heidi,"We made it out in the nick of time, but...I just can't help worry about the future now. I don't feel safe anymore...","We made it out in the nick of time, but...I just can't<br/>help worry about the future now. I don't feel<br/>safe anymore...",ハイジ婆さん,幸い彼も助かって、復旧も始まったようだけど これから大丈夫なのかしらね……,幸い彼も助かって、復旧も始まったようだけど<br/>これから大丈夫なのかしらね……,,
t3200,3,10,Grandma Heidi,"Professor Callaghan's undeniably smart, but all the same, he has a bad habit of panicking and rushing into bad decisions.","Professor Callaghan's undeniably smart, but all the<br/>same, he has a bad habit of panicking and rushing<br/>into bad decisions.",ハイジ婆さん,キャラハン教授……あの人も頭は良いのだけど、 若い頃から色々と焦りやすいところもあってねぇ……,キャラハン教授……あの人も頭は良いのだけど、<br/>若い頃から色々と焦りやすいところもあってねぇ……,,
t3200,3,11,Grandma Heidi,"That's always been his weak point, really: he has trouble stepping back and clearing his head.","That's always been his weak point, really: he has<br/>trouble stepping back and clearing his head.",ハイジ婆さん,真面目なのは良いのだけど……どうにも、 冷静に自分を見るのが苦手だったみたいなの。,真面目なのは良いのだけど……どうにも、<br/>冷静に自分を見るのが苦手だったみたいなの。,,
t3200,3,12,Grandma Heidi,"Professor Hamilton is an inspiration to us all, but...it's kind of strange. She doesn't feel distant or unapproachable at all.","Professor Hamilton is an inspiration to us all, but...it's<br/>kind of strange. She doesn't feel distant or<br/>unapproachable at all.",ハイジ婆さん,ハミルトン博士……有名で立派な人だけど、 あたしにとっては同年代の親しめる人でねぇ。,ハミルトン博士……有名で立派な人だけど、<br/>あたしにとっては同年代の親しめる人でねぇ。,,
t3200,3,13,Grandma Heidi,"She's kind and cheerful, despite her stature. Even the more crotchety artisans can't help but respect her.","She's kind and cheerful, despite her stature. Even the<br/>more crotchety artisans can't help but respect her.",ハイジ婆さん,朗らかで、皆にも優しくて、若い頃から 頑固な職人たちにもとても尊敬されていたのよ。,朗らかで、皆にも優しくて、若い頃から<br/>頑固な職人たちにもとても尊敬されていたのよ。,,
t3200,3,14,Grandma Heidi,"I just worry about her sometimes. She's very determined, very headstrong, and that does sometimes put her at odds with others.","I just worry about her sometimes. She's very<br/>determined, very headstrong, and that does<br/>sometimes put her at odds with others.",ハイジ婆さん,でも、使命感も強いものだから、 無理をしないか心配な事もあってね……,でも、使命感も強いものだから、<br/>無理をしないか心配な事もあってね……,,
t3200,3,15,Grandma Heidi,Young Quatre looks up to her an awful lot. He may very well grow up to be just like her.,Young Quatre looks up to her an awful lot. He may<br/>very well grow up to be just like her.,ハイジ婆さん,カトルも、博士を尊敬して模範にしているけど その分無理をしていないか不安だわ……,カトルも、博士を尊敬して模範にしているけど<br/>その分無理をしていないか不安だわ……,,
t3200,3,16,Grandma Heidi,"Quatre's been awfully busy these days, hasn't he? I do hope he's keeping well.","Quatre's been awfully busy these days, hasn't he? I do<br/>hope he's keeping well.",ハイジ婆さん,カトル、ここのところ忙しそうだけど 大丈夫かしらねぇ……,カトル、ここのところ忙しそうだけど<br/>大丈夫かしらねぇ……,,
t3200,3,17,Grandma Heidi,"I know the professor isn't around anymore, but Giscard and plenty of others are still around to help him out.","I know the professor isn't around anymore, but<br/>Giscard and plenty of others are still around to help<br/>him out.",ハイジ婆さん,街にはジスカールさんもいるし、 上手くやって行けるとは思うけど……,街にはジスカールさんもいるし、<br/>上手くやって行けるとは思うけど……,,
t3200,3,18,Grandma Heidi,"But he's still feeling uneasy about things, regardless...","But he's still feeling uneasy about things, regardless...",ハイジ婆さん,やっぱり、博士との連絡が無くなって、 あの子も不安だろうしねぇ……,やっぱり、博士との連絡が無くなって、<br/>あの子も不安だろうしねぇ……,,
t3200,3,19,Grandma Heidi,"Ah, are you showing those good people around the city, too?","Ah, are you showing those good people around the<br/>city, too?",ハイジ婆さん,カトル、その人達を案内しているのかい？,カトル、その人達を案内しているのかい？,,
t3200,3,20,Grandma Heidi,I thought I saw you with a different group of students earlier.,I thought I saw you with a different group of<br/>students earlier.,ハイジ婆さん,さっきは、見学に来た学生さんを 案内しているところも見かけたけど……,さっきは、見学に来た学生さんを<br/>案内しているところも見かけたけど……,,
t3200,3,21,Quatre,That's right. These guys have some business at the institute themselves.,That's right. These guys have some business at the<br/>institute themselves.,カトル,ええ、この方たちも大学に用事があるようで。,ええ、この方たちも大学に用事があるようで。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
t3200,3,22,Quatre,"They lent me a hand when I ran into some trouble earlier, so I figured I'd thank them.","They lent me a hand when I ran into some trouble<br/>earlier, so I figured I'd thank them.",カトル,まあ、先ほどちょっとした事故で助けていただき ましたしお礼も兼ねて案内しようかと。,まあ、先ほどちょっとした事故で助けていただき<br/>ましたしお礼も兼ねて案内しようかと。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
t3200,3,23,Grandma Heidi,"I see, I see. Well, that sounds good. You just look so busy lately, it's hard not to worry about you.","I see, I see. Well, that sounds good. You just look so<br/>busy lately, it's hard not to worry about you.",ハイジ婆さん,そうなの……なら良いけどねぇ。 ほら、最近カトル忙しそうじゃないの。,そうなの……なら良いけどねぇ。<br/>ほら、最近カトル忙しそうじゃないの。,,
t3200,3,24,Grandma Heidi,I hear the whole institute is busier than ever. Everyone's been gray under the eyes as of late.,I hear the whole institute is busier than ever.<br/>Everyone's been gray under the eyes as of late.,ハイジ婆さん,大学内でも色々と心配事も あるみたいだし……,大学内でも色々と心配事も<br/>あるみたいだし……,,
t3200,3,25,Quatre,"I appreciate your concern, but I'm fine, really. I know my limits, and I'm making sure not to overstep them.","I appreciate your concern, but I'm fine, really. I know<br/>my limits, and I'm making sure not to overstep them.",カトル,いえ、ハイジさんの心配する事ではないですよ。 僕も、自分の体調は一応把握しているし……,いえ、ハイジさんの心配する事ではないですよ。<br/>僕も、自分の体調は一応把握しているし……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
t3200,3,26,Grandma Heidi,"Well, if you're sure... Just take care of yourself, all right?","Well, if you're sure... Just take care of yourself,<br/>all right?",ハイジ婆さん,それなら良いけど…… カトル、くれぐれも無理のないようにね。,それなら良いけど……<br/>カトル、くれぐれも無理のないようにね。,,
t3200,3,27,Grandma Heidi,"You wouldn't want to burn yourself out, especially at your age. Professor Hamilton would hate to hear that.","You wouldn't want to burn yourself out, especially at<br/>your age. Professor Hamilton would hate to hear that.",ハイジ婆さん,身体を壊したら、博士も悲しむだろうし……,身体を壊したら、博士も悲しむだろうし……,,
t3200,3,28,Van,(Huh. Quatre's really hot shit.),(Huh. Quatre's really hot shit.),ヴァン,（カトル・サリシオン………結構街に   馴染んで気にかけられているようだな。）,（カトル・サリシオン………結構街に<br/>  馴染んで気にかけられているようだな。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
t3200,3,29,Van,"(Makes me wonder all the more why the CEO's actin' like he is. And the institute's rubbin' me the wrong way, too.)","(Makes me wonder all the more why the CEO's<br/>actin' like he is. And the institute's rubbin' me the<br/>wrong way, too.)",ヴァン,（その分大学内での事や、あのＣＥＯの   態度は一層気になるが……）,（その分大学内での事や、あのＣＥＯの<br/>  態度は一層気になるが……）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
t3200,3,30,Grandma Heidi,"How time flies. You've really come into your own, Quatre.","How time flies. You've really come into your<br/>own, Quatre.",ハイジ婆さん,カトルも、最近は立派になったわよね……,カトルも、最近は立派になったわよね……,,
t3200,3,31,Grandma Heidi,I think the Professor will be quite shocked to see how much you've grown!,I think the Professor will be quite shocked to see how<br/>much you've grown!,ハイジ婆さん,もう二年以上も会っていないけど、 博士も帰って来たらきっと成長を喜ぶわ。,もう二年以上も会っていないけど、<br/>博士も帰って来たらきっと成長を喜ぶわ。,,
t3200,4,32,Master Grover,"Well, I'll be damned... Guess my son really did care about the workshop.","Well, I'll be damned... Guess my son really did care<br/>about the workshop.",グロバー親方,こいつも……こいつなりに工房の事は 心配していたみたいだな。,こいつも……こいつなりに工房の事は<br/>心配していたみたいだな。,,
t3200,4,33,Master Grover,I just never could figure out what he was thinking— he's got trouble opening up like that. He gets that from me...,I just never could figure out what he was thinking—<br/>he's got trouble opening up like that. He gets that<br/>from me...,グロバー親方,まあ、口下手で不器用なのは俺似ってところか…… そこに気づいてやれなかったのは申し訳ねぇな。,まあ、口下手で不器用なのは俺似ってところか……<br/>そこに気づいてやれなかったのは申し訳ねぇな。,,
t3200,4,34,Master Grover,"Man. I sat down with my son last night, but we still couldn't really see eye to eye on things. I can't figure out kids worth a damn.","Man. I sat down with my son last night, but we still<br/>couldn't really see eye to eye on things. I can't figure<br/>out kids worth a damn.",グロバー親方,ううむ、昨晩も少し話したが…… やっぱり若い子は難しいもんだな……,ううむ、昨晩も少し話したが……<br/>やっぱり若い子は難しいもんだな……,,
t3200,4,35,Master Grover,I just wanna help him figure out what path he wants to take in life. The workshop will let him find what works for him.,I just wanna help him figure out what path he wants<br/>to take in life. The workshop will let him find what<br/>works for him.,グロバー親方,俺はただ、物を作る価値ってものを工房で 学んでから、自分の道を探して欲しいだけだが……,俺はただ、物を作る価値ってものを工房で<br/>学んでから、自分の道を探して欲しいだけだが……,,
t3200,4,36,Master Grover,But I can never get that through to him... Maybe I'm just not good at explaining it.,But I can never get that through to him... Maybe I'm<br/>just not good at explaining it.,グロバー親方,どうにもうまく伝わらねぇ…… いや、この場合は不器用なのは俺の方か……,どうにもうまく伝わらねぇ……<br/>いや、この場合は不器用なのは俺の方か……,,
t3200,4,37,Master Grover,"Long day... I've had my son on my mind. I wanna talk to him when I get home, but what do I even say?","Long day... I've had my son on my mind. I wanna<br/>talk to him when I get home, but what do I even say?",グロバー親方,さて……仕事が終わったのは良いとして、 今日は息子とどう話したものか……,さて……仕事が終わったのは良いとして、<br/>今日は息子とどう話したものか……,,
t3200,4,38,Master Grover,"He's studying over at the Institute of Science these days, but we couldn't disagree more on engineering.","He's studying over at the Institute of Science these<br/>days, but we couldn't disagree more on engineering.",グロバー親方,息子は理科大学に行っているんだが…… どうにも俺らの職人観が合わないみたいでね。,息子は理科大学に行っているんだが……<br/>どうにも俺らの職人観が合わないみたいでね。,,
t3200,4,39,Master Grover,"He's big on innovating—finding the new big thing. But me, I'm a more traditional guy. I take pride in the family art I've inherited.","He's big on innovating—finding the new big thing.<br/>But me, I'm a more traditional guy. I take pride in the<br/>family art I've inherited.",グロバー親方,古い職人魂よりイノベーションだなんだって 言い張ってて……難しいモンよ。,古い職人魂よりイノベーションだなんだって<br/>言い張ってて……難しいモンよ。,,
t3200,4,40,Master Grover,"I'm not trying to pressure him into taking over the shop, but I think he's hearing me that way. It's a puzzle, I tell ya...","I'm not trying to pressure him into taking over the<br/>shop, but I think he's hearing me that way. It's a<br/>puzzle, I tell ya...",グロバー親方,俺も別に、必ずしも工房を継げなんて 言っている訳じゃねぇんだがなぁ……,俺も別に、必ずしも工房を継げなんて<br/>言っている訳じゃねぇんだがなぁ……,,
t3200,4,41,Master Grover,I do remember hearing there was some falling-out between two professors over at the institute.,I do remember hearing there was some falling-out<br/>between two professors over at the institute.,グロバー親方,近頃は教授同士でも 火花を散らしてるとか聞いたな……,近頃は教授同士でも<br/>火花を散らしてるとか聞いたな……,,
t3200,4,42,Master Grover,"One of them was a disciple of Hamilton's, they were saying.","One of them was a disciple of Hamilton's, they<br/>were saying.",グロバー親方,それも、確かハミルトン門下が どうのこうの……って聞いた気がするぜ。,それも、確かハミルトン門下が<br/>どうのこうの……って聞いた気がするぜ。,,
t3200,4,43,Master Grover,"Wish I could tell you more, but that's all I remember. Sorry.","Wish I could tell you more, but that's all I remember.<br/>Sorry.",グロバー親方,はっきりした事が言えなくて悪いな。,はっきりした事が言えなくて悪いな。,,
t3200,4,44,Master Grover,"Word on the street is, Giscard landed another big project.","Word on the street is, Giscard landed another<br/>big project.",グロバー親方,しかしジスカール工房……またとんでもねぇ 代物の制作を任せられたって話だな。,しかしジスカール工房……またとんでもねぇ<br/>代物の制作を任せられたって話だな。,,
t3200,4,45,Master Grover,"Ol' Giscard heads up the Artisans' Guild. As a fellow member, I'm proud to have him as our ambassador.","Ol' Giscard heads up the Artisans' Guild. As a fellow<br/>member, I'm proud to have him as our ambassador.",グロバー親方,あそこは俺ら職人組合のお頭さ。 職人の一人として俺も鼻が高いぜ。,あそこは俺ら職人組合のお頭さ。<br/>職人の一人として俺も鼻が高いぜ。,,
