gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
t5400,1,1,CHR_THIS,"For general mob character checks. There is a possibility that events will not function correctly if used, so please be careful. *Please delete if not needed.","For general mob character checks. There is a<br/>possibility that events will not function correctly if<br/>used, so please be careful. *Please delete if<br/>not needed.",CHR_THIS,一般・モブ確認用です。こちらを使用した場合、イベントが 正常に進行しなくなる場合がありますのでご注意ください。 ※不要になりましたら削除をお願いいたします。,一般・モブ確認用です。こちらを使用した場合、イベントが<br/>正常に進行しなくなる場合がありますのでご注意ください。<br/>※不要になりましたら削除をお願いいたします。,,
t5400,1,2,,★DEBUG: Select a character who will leave with Agnès.,★DEBUG: Select a character who will leave<br/>with Agnès.,,★DEBUG：アニエスと一緒に 一時離脱するメンバーを選んでください。,★DEBUG：アニエスと一緒に<br/>一時離脱するメンバーを選んでください。,,
t5400,1,3,,★DEBUG: Select a character who will leave with Agnès.,★DEBUG: Select a character who will leave<br/>with Agnès.,,★DEBUG：アニエスと一緒に 一時離脱するメンバーを選んでください。,★DEBUG：アニエスと一緒に<br/>一時離脱するメンバーを選んでください。,,
t5400,1,4,,★DEBUG: Select a character who will temporarily flee along with Agnès.,★DEBUG: Select a character who will temporarily flee<br/>along with Agnès.,,★DEBUG：アニエスと一緒に 一時離脱するメンバーを選んでください。,★DEBUG：アニエスと一緒に<br/>一時離脱するメンバーを選んでください。,,
t5400,2,5,Dowyane,"Tourists concentrate their time in the three main districts of Oración, but I would encourage you to check out the suburbs as well.","Tourists concentrate their time in the three main<br/>districts of Oración, but I would encourage you to<br/>check out the suburbs as well.",ドワイアン,オラシオンは三街区が観光では注目されがちだが、 郊外にも結構特色はあるものでね。,オラシオンは三街区が観光では注目されがちだが、<br/>郊外にも結構特色はあるものでね。,,
t5400,2,6,Dowyane,"They house our three main schools: the prestigious Oración University, the music academy, and the art academy.","They house our three main schools: the prestigious<br/>Oración University, the music academy, and the<br/>art academy.",ドワイアン,名門であるオラシオン大学や音楽学校、 美術学校などもあるし……,名門であるオラシオン大学や音楽学校、<br/>美術学校などもあるし……,,
t5400,2,7,Dowyane,"That's where the ETWS and Quincy Company factories lie also. They may not be prime sightseeing spots, but they're worth a visit.","That's where the ETWS and Quincy Company<br/>factories lie also. They may not be prime sightseeing<br/>spots, but they're worth a visit.",ドワイアン,エトワスやクインシー社の工場もあって、 観光地ではないけど地元民としては誇りの一つさ。,エトワスやクインシー社の工場もあって、<br/>観光地ではないけど地元民としては誇りの一つさ。,,
t5400,2,8,Dowyane,The cathedral looks especially beautiful against the backdrop of the starry sky.,The cathedral looks especially beautiful against the<br/>backdrop of the starry sky.,ドワイアン,夜は夜で、夜景と総大聖堂の 合わさった情景が綺麗なものだね。,夜は夜で、夜景と総大聖堂の<br/>合わさった情景が綺麗なものだね。,,
t5400,2,9,Dowyane,"If you want to visit it, you'll have to go to the East District.","If you want to visit it, you'll have to go to the<br/>East District.",ドワイアン,総大聖堂のある東街区はもともと貴族が多く 居住していた由緒ある地区だ。,総大聖堂のある東街区はもともと貴族が多く<br/>居住していた由緒ある地区だ。,,
t5400,2,10,Dowyane,That's where all the wealthy people live. They built their mansions around the cathedral.,That's where all the wealthy people live. They built<br/>their mansions around the cathedral.,ドワイアン,まあ、教会を中心に街が広がるのはよくある事だが、 何せ総大聖堂の近くの一等地。,まあ、教会を中心に街が広がるのはよくある事だが、<br/>何せ総大聖堂の近くの一等地。,,
t5400,2,11,Dowyane,It's not uncommon for cities to be constructed around churches.,It's not uncommon for cities to be constructed<br/>around churches.,ドワイアン,こぞって貴族が総大聖堂の周りに屋敷を建て、 同心円状に広がって形成された街なんだ。,こぞって貴族が総大聖堂の周りに屋敷を建て、<br/>同心円状に広がって形成された街なんだ。,,
