gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7510,1,1,Melchior,"Welcome, friends! How good of you to come.","Welcome, friends! How good of you to come.",メルキオル,やあやあ、遅かったね。,"<audio id=""v38_60029""><source src=""talk/11/v38_60029.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v38_60029').play()"">やあやあ、遅かったね。</a>",,
m7510,1,2,Melchior,"You sure took your sweet, sweet time. What's wrong? Lost your sense of urgency now that the countdown has stopped?","You sure took your sweet, sweet time. What's wrong?<br/>Lost your sense of urgency now that the countdown<br/>has stopped?",メルキオル,カウントダウンが停止してるからって ちょっとノンビリしすぎなんじゃないの？,"<audio id=""v38_60030""><source src=""talk/11/v38_60030.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v38_60030').play()"">カウントダウンが停止してるからって<br/>ちょっとノンビリしすぎなんじゃないの？</a>",,
m7510,1,3,Van,Screw off.,Screw off.,ヴァン,抜かせ……,"<audio id=""v00_60113""><source src=""talk/11/v00_60113.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60113').play()"">抜かせ……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7510,1,4,Aaron,I've been looking forward to beating your ass.,I've been looking forward to beating your ass.,アーロン,サド女に筋肉野郎、人形娘が マシだったとは言わねえが……,"<audio id=""v03_60073""><source src=""talk/11/v03_60073.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60073').play()"">サド女に筋肉野郎、人形娘が<br/>マシだったとは言わねえが……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7510,1,5,Ferry,You're going to pay for everything you've done.,You're going to pay for everything you've done.,フェリ,……あなただけは わたしも許せません。,"<audio id=""v02_60068""><source src=""talk/11/v02_60068.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60068').play()"">……あなただけは<br/>わたしも許せません。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7510,1,6,Quatre,You've hurt everyone here to some extent—Risette and Feri in particular.,You've hurt everyone here to some extent—Risette<br/>and Feri in particular.,カトル,そうだね…… リゼットさんの件もあるし。,"<audio id=""v05_60065""><source src=""talk/11/v05_60065.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60065').play()"">そうだね……<br/>リゼットさんの件もあるし。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7510,1,7,Lisette,Melchior is a criminal of the highest order.,Melchior is a criminal of the highest order.,リゼット,私のことはともあれ── 最高ランクの重犯罪者でしょう。,"<audio id=""v04_60076""><source src=""talk/11/v04_60076.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60076').play()"">私のことはともあれ──<br/>最高ランクの重犯罪者でしょう。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7510,1,8,Lisette,He and Dantès have done much evil—and will likely go on to do more if we do not stop them in their tracks.,He and Dantès have done much evil—and will likely<br/>go on to do more if we do not stop them in<br/>their tracks.,リゼット,ジェラール・ダンテスと共に 様々な画策をした意味では。,"<audio id=""v04_60077""><source src=""talk/11/v04_60077.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60077').play()"">ジェラール・ダンテスと共に<br/>様々な画策をした意味では。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7510,1,9,Agnes,"...I bet the destruction of Creil was your handiwork, too.","...I bet the destruction of Creil was your<br/>handiwork, too.",アニエス,……クレイユ村を標的にした事。,"<audio id=""v01_60097""><source src=""talk/11/v01_60097.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60097').play()"">……クレイユ村を標的にした事。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7510,1,10,Agnes,"Even if you yourself didn't pull the trigger, you drafted the plan personally. Tell me. Am I wrong?","Even if you yourself didn't pull the trigger, you<br/>drafted the plan personally. Tell me. Am I wrong?",アニエス,あれは恐らく、 あなたの提案だったんですね？,"<audio id=""v01_60098""><source src=""talk/11/v01_60098.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60098').play()"">あれは恐らく、<br/>あなたの提案だったんですね？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
