gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a0102,1,1,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,2,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,3,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,4,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,5,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,6,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,7,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,8,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,9,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,10,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,11,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,12,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,13,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,14,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,15,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,16,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,17,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
a0102,1,18,CHR_THIS,,,CHR_THIS,   ,<br/><br/><br/>,,
