gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
c0600,1,1,Jess,I think I'll try writing some music here for once.,I think I'll try writing some music here for once.,ジェス,折角だからここで作曲していこうかな。,折角だからここで作曲していこうかな。,,
c0600,1,2,Jess,I mainly settled on this place because the other two hardly come here as far as I know.,I mainly settled on this place because the other two<br/>hardly come here as far as I know.,ジェス,この店ならあの２人は滅多に 来ないだろうと思って選んだんだけど……,この店ならあの２人は滅多に<br/>来ないだろうと思って選んだんだけど……,,
c0600,1,3,Jess,"But it's actually pretty relaxing here, so I think I'll just keep hanging out here for a while.","But it's actually pretty relaxing here, so I think I'll just<br/>keep hanging out here for a while.",ジェス,意外と落ち着けるし、 このまま待たせてもらうよ。,意外と落ち着けるし、<br/>このまま待たせてもらうよ。,,
c0600,1,4,Jess,"Anyway, thanks for handling my request. I, uhh... really appreciate it.","Anyway, thanks for handling my request. I, uhh...<br/>really appreciate it.",ジェス,依頼の件……どうかよろしく頼んだよ。,依頼の件……どうかよろしく頼んだよ。,,
c0600,1,5,Jess,"Huh? Hey, are you guys...?","Huh? Hey, are you guys...?",ジェス,ん……？　君たちは……？,ん……？　君たちは……？,,
c0600,1,6,Ferry,"Oh, sorry, mister! Don't mind us. We're just wandering around here.","Oh, sorry, mister! Don't mind us. We're just<br/>wandering around here.",フェリ,あっすみません、 お店の中をウロウロしちゃってました。,あっすみません、<br/>お店の中をウロウロしちゃってました。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
c0600,1,7,Jess,"Oh, I see! No worries. I get why you're curious. There aren't many places like this here in Edith for sure.","Oh, I see! No worries. I get why you're curious.<br/>There aren't many places like this here in Edith<br/>for sure.",ジェス,はは、首都じゃ珍しいお店だもんね。 気持ちは分かるよ。,はは、首都じゃ珍しいお店だもんね。<br/>気持ちは分かるよ。,,
c0600,1,8,Jess,"(I thought it might be 'them,' but it seems not. Guess I'm just going to have to wait around a while until they show up.)","(I thought it might be 'them,' but it seems not.<br/>Guess I'm just going to have to wait around a while<br/>until they show up.)",ジェス,（……もしかしてと思ったけど。   気長に待つしかないのかな……）,<S3>（……もしかしてと思ったけど。<br/>  気長に待つしかないのかな……）,,
c0600,1,9,Van,"(Is it just me, or does this guy not seem like he's just here for a bite to eat?)","(Is it just me, or does this guy not seem like he's just<br/>here for a bite to eat?)",ヴァン,（コイツ……料理を食べに来たっつう   雰囲気じゃねえみたいだが。）,（コイツ……料理を食べに来たっつう<br/>  雰囲気じゃねえみたいだが。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
c0600,1,10,Agnes,(Maybe he's waiting for someone. Who knows?),(Maybe he's waiting for someone. Who knows?),アニエス,（誰かを待ってるんでしょうか……？）,（誰かを待ってるんでしょうか……？）,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
c0600,2,11,Van,(No way do I have time to catch another movie.),(No way do I have time to catch another movie.),ヴァン,（さすがにもう１本観る余裕はねぇな。）,（さすがにもう１本観る余裕はねぇな。）,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
