gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
debug,1,1,,★DEBUG: Select 1 accompanying character. (This can be changed later.),★DEBUG: Select 1 accompanying character.<br/>(This can be changed later.),,★DEBUG：同行メンバーを一人選んでください。 （後で変更も可能です。）,★DEBUG：同行メンバーを一人選んでください。<br/>（後で変更も可能です。）,,
debug,1,2,,★DEBUG: Select a character to accompany you in addition to Van/Risette.,★DEBUG: Select a character to accompany you<br/>in addition to Van/Risette.,,★DEBUG：ヴァン・リゼットに加えて 連れて行くメンバーを選んでください。,★DEBUG：ヴァン・リゼットに加えて<br/>連れて行くメンバーを選んでください。,,
debug,1,3,,★DEBUG: Select a character to accompany you in addition to Van/Agnes/Risette.,★DEBUG: Select a character to accompany you<br/>in addition to Van/Agnes/Risette.,,★DEBUG：ヴァン・アニエス・リゼットに加えて 連れて行くメンバーを選んでください。,★DEBUG：ヴァン・アニエス・リゼットに加えて<br/>連れて行くメンバーを選んでください。,,
debug,1,4,,★DEBUG: (Temp) Select one standby character.,★DEBUG: (Temp) Select one standby character.,,★DEBUG：（仮）待機メンバーを一人選んでください。,★DEBUG：（仮）待機メンバーを一人選んでください。,,
debug,1,5,,★DEBUG: (Temp) Select accompanying characters.,★DEBUG: (Temp) Select accompanying characters.,,★DEBUG：（仮）同行メンバーを選んでください。,★DEBUG：（仮）同行メンバーを選んでください。,,
debug,1,6,,★DEBUG: Select a character who will temporarily flee along with Agnes.,★DEBUG: Select a character who will temporarily flee<br/>along with Agnes.,,★DEBUG：アニエスと一緒に 一時離脱するメンバーを選んでください。,★DEBUG：アニエスと一緒に<br/>一時離脱するメンバーを選んでください。,,
debug,1,7,,★DEBUG: (Temp) Select an accompanying character (first).,★DEBUG: (Temp) Select an accompanying character (first).,,★DEBUG：（仮）同行メンバーを選んでください。（１人目）,★DEBUG：（仮）同行メンバーを選んでください。（１人目）,,
debug,1,8,,★DEBUG: (Temp) Select an accompanying character (second).,★DEBUG: (Temp) Select an accompanying character (second).,,★DEBUG：（仮）同行メンバーを選んでください。（２人目）,★DEBUG：（仮）同行メンバーを選んでください。（２人目）,,
debug,1,9,,"★DEBUG: Can only launch exe and use once, so be careful.","★DEBUG: Can only launch exe and use once, so be careful.",,★DEBUG：exeを立ち上げて1回しか使えないのでご注意ください。,★DEBUG：exeを立ち上げて1回しか使えないのでご注意ください。,,
debug,1,10,,★DEBUG: Set the location liberation status. The order of locations liberated changes the party lineup.,★DEBUG: Set the location liberation status.<br/>The order of locations liberated changes the party lineup.,,★DEBUG：解放している順番によってパーティー構成が変化します。 解放状況を選択してください。,★DEBUG：解放している順番によってパーティー構成が変化します。<br/>解放状況を選択してください。,,
debug,1,11,,★DEBUG: Set the location liberation status. The order of locations liberated changes the party lineup.,★DEBUG: Set the location liberation status.<br/>The order of locations liberated changes the party lineup.,,★DEBUG：解放している順番によってパーティー構成が変化します。 解放状況を選択してください。,★DEBUG：解放している順番によってパーティー構成が変化します。<br/>解放状況を選択してください。,,
debug,1,12,,★DEBUG: Set the location liberation status. The order of locations liberated changes the party lineup.,★DEBUG: Set the location liberation status.<br/>The order of locations liberated changes the party lineup.,,★DEBUG：解放している順番によってパーティー構成が変化します。 解放状況を選択してください。,★DEBUG：解放している順番によってパーティー構成が変化します。<br/>解放状況を選択してください。,,
