gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
11,a0000,1,1,,,,　,❤焱燜爷爸睺鏢你吧煉糰──漢字はここまで❤ ❤いぃうゔぅえぇけげこごただなにはばぱほぼぽま──ここまで❤ ㌍㌫㌻㍊㍍　㌍㌫㌻㍊㌫㍊㌻㍊㌫㌻㍊㌻㍊㌫㌻㍊㌫㍊㌻㍍,❤焱燜爷爸睺鏢你吧煉糰──漢字はここまで❤<br/>❤いぃうゔぅえぇけげこごただなにはばぱほぼぽま──ここまで❤<br/>㌍㌫㌻㍊㍍　㌍㌫㌻㍊㌫㍊㌻㍊㌫㌻㍊㌻㍊㌫㌻㍊㌫㍊㌻㍍,,,
11,a0000,1,2,,,,　,ああああああああああああああああああああああああああああああああああああああああ ──彼女は俺の依頼人（クライアント）でな。,ああああああああああああああああああああああああああああああああああああああああ<br/>──彼女は俺の依頼人（クライアント）でな。,,,
11,a0000,1,3,,,,システムテストさん,連続表示 2行目表示,連続表示<br/>2行目表示,,,
11,a0000,1,4,,,,システムテストさん,連続表示 2行目表示 3行目表示,連続表示<br/>2行目表示<br/>3行目表示,,,
11,a0000,1,5,,,,CHR_PLAYER,直前と別のキャラが話した場合,直前と別のキャラが話した場合,,,
11,a0000,1,6,,,,システムテストさん,直前と別のキャラが話した場合,直前と別のキャラが話した場合,,,
11,a0000,1,7,,,,システムテストさん,字幕を消している最中に 同じキャラの次の字幕メッセージを表示する場合,字幕を消している最中に<br/>同じキャラの次の字幕メッセージを表示する場合,,,
11,a0000,1,8,,,,戦闘テストさん,字幕を消している最中に 別のキャラの字幕メッセージを表示する場合,字幕を消している最中に<br/>別のキャラの字幕メッセージを表示する場合,,,
11,a0000,1,9,,,,システムテストさん,字幕を完全に消した後に 再び字幕を表示する場合,字幕を完全に消した後に<br/>再び字幕を表示する場合,,,
11,a0000,1,10,,,,システムテストさん,ポップアップを消している最中に 字幕メッセージを表示する場合,ポップアップを消している最中に<br/>字幕メッセージを表示する場合,,,
11,a0000,1,11,,,,システムテストさん,話者名なし・字幕帯あり,話者名なし・字幕帯あり,,,
11,a0000,1,12,,,,システムテストさん,話者名あり・字幕帯なし,話者名あり・字幕帯なし,,,
