gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
11,m2310,1,1,,,,エレイン,かつて数多くの鉱員が 住んでいたという巨大建造物……,かつて数多くの鉱員が<br/>住んでいたという巨大建造物……,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>",
11,m2310,1,2,,,,エレイン,かなり古いけど 一応、コンクリート製なのね。,かなり古いけど<br/>一応、コンクリート製なのね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>",
11,m2310,1,3,,,,ヴァン,築８０年ってところか。,築８０年ってところか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,m2310,1,4,,,,ヴァン,家族ごとだったみたいだから 一つの町みたいなモンだったんだろう。,家族ごとだったみたいだから<br/>一つの町みたいなモンだったんだろう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,m2310,1,5,,,,アーロン,っ……,っ……,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,m2310,1,6,,,,アニエス,だ、大丈夫ですか……？,だ、大丈夫ですか……？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,m2310,1,7,,,,フェリ,やはり傷が響いているのでは……,やはり傷が響いているのでは……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,m2310,1,8,,,,アーロン,何でもねえ。 老先生の軟膏がちゃんと効いてる。,何でもねえ。<br/>老先生の軟膏がちゃんと効いてる。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,m2310,1,9,,,,アーロン,むしろ普段より遙かに 気力が湧いてるくらいだぜ。,むしろ普段より遙かに<br/>気力が湧いてるくらいだぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,m2310,1,10,,,,ヴァン,……ならいいが。,……ならいいが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,m2310,1,11,,,,女性の声,きゃあああああああああああ───,<S2>きゃあああああああああああ───,,,
11,m2310,1,12,,,,エレイン,悲鳴……！,悲鳴……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>",
11,m2310,1,13,,,,アニエス,マクシムさんの 連れていた方々……！？,マクシムさんの<br/>連れていた方々……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,m2310,1,14,,,,フェリ,奥からみたいです！,奥からみたいです！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,m2310,1,15,,,,ヴァン,待て──！,待て──！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>",
11,m2310,1,16,,,,アーロン,！？　こいつら……！？,！？　こいつら……！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>",
11,m2310,1,17,,,,フェリ,ッ……！ “息吹”がありません……！,ッ……！<br/>“息吹”がありません……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>",
11,m2310,1,18,,,,アニエス,あ、あの時と同じ……,あ、あの時と同じ……,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>",
11,m2310,1,19,,,,エレイン,アルヴィス君が言っていた……！,アルヴィス君が言っていた……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5110_out.webp""/>",
